Journal name,Group,Category,JIF Quartile
BRIEFINGS IN BIOINFORMATICS,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
GENES & DEVELOPMENT,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Food Engineering Reviews,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Science and Human Wellness,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
ONCOGENE,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Journal of Future Foods,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Journal of Genetics and Genomics,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Current Research in Food Science,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Frontiers,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
POSTHARVEST BIOLOGY AND TECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
IEEE Journal of Biomedical and Health Informatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
Innovative Food Science & Emerging Technologies,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
LWT-FOOD SCIENCE AND TECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Antioxidants,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
COMPUTERS IN BIOLOGY AND MEDICINE,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
FOOD CONTROL,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
GENETICS IN MEDICINE,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Journal of Agriculture and Food Research,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Phenomics,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Applied Food Research,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Security,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
BioData Mining,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
MEAT SCIENCE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Research Synthesis Methods,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
FOOD POLICY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Annual Review of Biomedical Data Science,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
FOOD REVIEWS INTERNATIONAL,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Bioscience,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Structure-Netherlands,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food and Bioprocess Technology,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
JOURNAL OF FOOD ENGINEERING,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Production Processing and Nutrition,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
eFood,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Molecular Autism,Biology & Biochemistry,GENETICS & HEREDITY,Q1
GENOME RESEARCH,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Circulation-Genomic and Precision Medicine,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Environmental Microbiome,Biology & Biochemistry,GENETICS & HEREDITY,Q1
BIOINFORMATICS,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
Food & Function,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Agriculture & Food Security,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
MOLECULAR BIOLOGY AND EVOLUTION,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Marine Life Science & Technology,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Quality Assurance and Safety of Crops & Foods,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Sustainable Food Technology,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Biology of Sex Differences,Biology & Biochemistry,GENETICS & HEREDITY,Q1
GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Foods,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Food Hydrocolloids for Health,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
CANCER GENE THERAPY,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Legume Science,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q1
Marine Pollution Bulletin,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Food Quality and Preference,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Genes and Nutrition,Biology & Biochemistry,GENETICS & HEREDITY,Q1
npj Genomic Medicine,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Food Chemistry: Molecular Sciences,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
REVIEWS IN FISH BIOLOGY AND FISHERIES,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
FOOD MICROBIOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
EUROPEAN JOURNAL OF HUMAN GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q1
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
HARMFUL ALGAE,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
GENE THERAPY,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Food and Energy Security,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
GENES AND IMMUNITY,Biology & Biochemistry,GENETICS & HEREDITY,Q1
MITOCHONDRION,Biology & Biochemistry,GENETICS & HEREDITY,Q1
JOURNAL OF DAIRY SCIENCE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Clinical Epigenetics,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Water Biology and Security,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Molecular Diagnosis & Therapy,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Frontiers in Genome Editing,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Food Quality and Safety,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q1
AQUATIC TOXICOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Human Genomics,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Neurology-Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q1
MUTAGENESIS,Biology & Biochemistry,GENETICS & HEREDITY,Q1
THEORETICAL AND APPLIED GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q1
British Food Journal,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,Biology & Biochemistry,GENETICS & HEREDITY,Q1
JOURNAL OF MOLECULAR MEDICINE-JMM,Biology & Biochemistry,GENETICS & HEREDITY,Q1
MOLECULAR NUTRITION & FOOD RESEARCH,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
JOURNAL OF FOOD BIOCHEMISTRY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
International Journal of Neonatal Screening,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Microbial Genomics,Biology & Biochemistry,GENETICS & HEREDITY,Q1
CRISPR Journal,Biology & Biochemistry,GENETICS & HEREDITY,Q1
MICROBIAL ECOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
HUMAN GENE THERAPY,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Microbial Risk Analysis,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Journal of Functional Foods,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Toxins,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
FISH & SHELLFISH IMMUNOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
AQUACULTURE,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Interdisciplinary Sciences-Computational Life Sciences,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
HEREDITY,Biology & Biochemistry,GENETICS & HEREDITY,Q1
Frontiers in Bioinformatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Plant Genome,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF INHERITED METABOLIC DISEASE,Biology & Biochemistry,GENETICS & HEREDITY,Q2
GENETIC EPIDEMIOLOGY,Biology & Biochemistry,GENETICS & HEREDITY,Q2
GENETIC EPIDEMIOLOGY,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
Food Science & Nutrition,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
PLoS Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF MEDICAL GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
BMC GENOMICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
HUMAN MUTATION,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Journal of Cereal Science,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Food Science of Animal Resources,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
PACKAGING TECHNOLOGY AND SCIENCE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Discover Food,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Human Genetics and Genomics Advances,Biology & Biochemistry,GENETICS & HEREDITY,Q2
PLoS Computational Biology,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
MOLECULAR PHYLOGENETICS AND EVOLUTION,Biology & Biochemistry,GENETICS & HEREDITY,Q2
HUMAN GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Database-The Journal of Biological Databases and Curation,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
Measurement: Food,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
CURRENT OPINION IN GENETICS & DEVELOPMENT,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Bioactive Carbohydrates and Dietary Fibre,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
International Journal of Gastronomy and Food Science,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
PLANT FOODS FOR HUMAN NUTRITION,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Epigenetics Insights,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Journal of Insects as Food and Feed,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
npj Systems Biology and Applications,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
Epigenetics & Chromatin,Biology & Biochemistry,GENETICS & HEREDITY,Q2
FOOD AND CHEMICAL TOXICOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Orphanet Journal of Rare Diseases,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Meat and Muscle Biology,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
MOLECULAR GENETICS AND METABOLISM,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Epigenomes,Biology & Biochemistry,GENETICS & HEREDITY,Q2
ICES JOURNAL OF MARINE SCIENCE,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
JOURNAL OF PHYCOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
FOOD AND BIOPRODUCTS PROCESSING,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
JOURNAL OF FOOD SCIENCE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
INTERNATIONAL DAIRY JOURNAL,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Food & Nutrition Research,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
BMC BIOINFORMATICS,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
NFS Journal,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
CURRENT GENE THERAPY,Biology & Biochemistry,GENETICS & HEREDITY,Q2
ITALIAN JOURNAL OF FOOD SCIENCE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Journal of Food Measurement and Characterization,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
EFSA Journal,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Environmental Epigenetics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
MARINE ENVIRONMENTAL RESEARCH,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Epigenetics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
HUMAN MOLECULAR GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
EUROPEAN FOOD RESEARCH AND TECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Food Biophysics,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Forensic Science International-Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
GENETICS SELECTION EVOLUTION,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Mobile DNA,Biology & Biochemistry,GENETICS & HEREDITY,Q2
FUNCTIONAL & INTEGRATIVE GENOMICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Molecular Informatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q1
Frontiers in Sustainable Food Systems,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
International Journal of Food Science,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
FOOD SCIENCE AND BIOTECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
GENOMICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF APPLIED PHYCOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
MOLECULAR BREEDING,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Frontiers in Marine Science,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
JOURNAL OF FOOD AND DRUG ANALYSIS,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
Non-Coding RNA,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Food Analytical Methods,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
CORAL REEFS,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
DNA RESEARCH,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Phycology,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
JOURNAL OF SEA RESEARCH,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Current Bioinformatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
PHARMACOGENOMICS JOURNAL,Biology & Biochemistry,GENETICS & HEREDITY,Q2
IMMUNOGENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF BIOSCIENCE AND BIOENGINEERING,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
JOURNAL OF FOOD QUALITY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
JOURNAL OF FOOD PROCESS ENGINEERING,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q2
NAR Genomics and Bioinformatics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
NAR Genomics and Bioinformatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
BIOMETRIKA,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Genome Biology and Evolution,Biology & Biochemistry,GENETICS & HEREDITY,Q2
MARINE BIOTECHNOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Frontiers in Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Genes,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Fish and Shellfish Immunology Reports,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
GENES CHROMOSOMES & CANCER,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Bioinformatics Advances,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Application of Clinical Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
CHROMOSOME RESEARCH,Biology & Biochemistry,GENETICS & HEREDITY,Q2
ACS Food Science & Technology,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
JOURNAL OF FOOD PROTECTION,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
INTERNATIONAL JOURNAL OF DAIRY TECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
FRESHWATER BIOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
DNA REPAIR,Biology & Biochemistry,GENETICS & HEREDITY,Q2
PRENATAL DIAGNOSIS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Analytical Methods,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Food and Environmental Virology,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
MAMMALIAN GENOME,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Applied Biological Chemistry,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Beverages,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
STARCH-STARKE,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
ESTUARINE COASTAL AND SHELF SCIENCE,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
EVOLUTION,Biology & Biochemistry,GENETICS & HEREDITY,Q2
AQUATIC BOTANY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
BMC Ecology and Evolution,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Cancer Genomics & Proteomics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Epigenomics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
DNA AND CELL BIOLOGY,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Infectious Disease Modelling,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Aquaculture Environment Interactions,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
JOURNAL OF HEREDITY,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF MARINE SYSTEMS,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Animal Biotelemetry,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
HYDROBIOLOGIA,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
JOURNAL OF GREAT LAKES RESEARCH,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Frontiers in Neuroinformatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Physiological Genomics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
BMC Genomic Data,Biology & Biochemistry,GENETICS & HEREDITY,Q2
HEREDITAS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
JOURNAL OF HUMAN GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Cancer Informatics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Food Additives & Contaminants Part B-Surveillance,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Briefings in Functional Genomics,Biology & Biochemistry,GENETICS & HEREDITY,Q2
BIOTECHNOLOGY PROGRESS,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
FOOD TECHNOLOGY AND BIOTECHNOLOGY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
JOURNAL OF TEXTURE STUDIES,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
JOURNAL OF FOOD PROCESSING AND PRESERVATION,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
GENESIS,Biology & Biochemistry,GENETICS & HEREDITY,Q2
Preventive Nutrition and Food Science,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
CEREAL CHEMISTRY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Fishes,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
Regional Studies in Marine Science,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
ALGAE,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q1
in silico Plants,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
GENE,Biology & Biochemistry,GENETICS & HEREDITY,Q3
Comparative Biochemistry and Physiology D-Genomics & Proteomics,Biology & Biochemistry,GENETICS & HEREDITY,Q3
International Journal for Numerical Methods in Biomedical Engineering,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Inland Waters,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
Egyptian Journal of Aquatic Research,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
FUNGAL GENETICS AND BIOLOGY,Biology & Biochemistry,GENETICS & HEREDITY,Q3
MEDITERRANEAN MARINE SCIENCE,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
Aquatic Invasions,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
JOURNAL OF MATHEMATICAL BIOLOGY,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Estuaries and Coasts,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
CLINICAL GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q3
INTERNATIONAL REVIEW OF HYDROBIOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
Frontiers in Computational Neuroscience,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
JOURNAL OF EVOLUTIONARY BIOLOGY,Biology & Biochemistry,GENETICS & HEREDITY,Q3
Bio-Algorithms and Med-Systems,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
CHROMOSOMA,Biology & Biochemistry,GENETICS & HEREDITY,Q3
ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,Biology & Biochemistry,GENETICS & HEREDITY,Q3
POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Frontiers in Systems Biology,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
Food Bioengineering,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
JOURNAL OF FISH DISEASES,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
Current Opinion in Systems Biology,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
BEHAVIOR GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q3
JOURNAL OF GENE MEDICINE,Biology & Biochemistry,GENETICS & HEREDITY,Q3
Journal of Biological Dynamics,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
BULLETIN OF MATHEMATICAL BIOLOGY,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q2
AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
G3-Genes Genomes Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q3
OENO One,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
PLASMID,Biology & Biochemistry,GENETICS & HEREDITY,Q3
Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
World Mycotoxin Journal,Biology & Biochemistry,FOOD SCIENCE & TECHNOLOGY,Q3
Mathematical Modelling of Natural Phenomena,Biology & Biochemistry,MATHEMATICAL & COMPUTATIONAL BIOLOGY,Q3
MARINE BIOLOGY,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
MARINE ECOLOGY PROGRESS SERIES,Biology & Biochemistry,MARINE & FRESHWATER BIOLOGY,Q2
ANIMAL GENETICS,Biology & Biochemistry,GENETICS & HEREDITY,Q3
MOLECULAR GENETICS AND GENOMICS,Biology & Biochemistry,GENETICS & HEREDITY,Q3
EVOLUTIONARY ECOLOGY,Biology & Biochemistry,GENETICS & HEREDITY,Q3
Genetics Research,Biology & Biochemistry,GENETICS & HEREDITY,Q3
Cancer Genetics,Biology & Biochemistry,GENETICS & HEREDITY,Q3
